,Date,Open_x,High_x,Low_x,Close_x,Adj Close_x,Volume_x,Open_y,High_y,Low_y,Close_y,Adj Close_y,Volume_y
0,2007-11-09,1467.589966,1474.089966,1448.51001,1453.699951,1453.699951,4587050000,49.23,50.439999,48.630001,49.68,49.68,534500
1,2007-11-12,1453.660034,1464.939941,1438.530029,1439.180054,1439.180054,4192520000,49.57,51.130001,49.57,49.849998,49.849998,485100
2,2007-11-13,1441.349976,1481.369995,1441.349976,1481.050049,1481.050049,4141310000,50.169998,52.02,49.970001,51.59,51.59,633400
3,2007-11-14,1483.400024,1492.140015,1466.469971,1470.579956,1470.579956,4031470000,51.619999,52.189999,50.919998,51.060001,51.060001,1046800
4,2007-11-15,1468.040039,1472.670044,1443.48999,1451.150024,1451.150024,3941010000,50.889998999999996,51.200001,49.970001,50.450001,50.450001,636300
5,2007-11-16,1453.089966,1462.180054,1443.98999,1458.73999,1458.73999,4168870000,50.52,51.34,49.779999,50.759997999999996,50.759997999999996,742000
6,2007-11-19,1456.699951,1456.699951,1430.420044,1433.27002,1433.27002,4119650000,50.369999,50.459998999999996,49.66,49.889998999999996,49.889998999999996,874000
7,2007-11-20,1434.51001,1452.640015,1419.280029,1439.699951,1439.699951,4875150000,49.779999,50.48,49.16,50.209998999999996,50.209998999999996,841500
8,2007-11-21,1434.709961,1436.400024,1415.640015,1416.77002,1416.77002,4076230000,49.52,51.139998999999996,49.52,50.040001000000004,50.040001000000004,613700
9,2007-11-23,1417.619995,1440.859985,1417.619995,1440.699951,1440.699951,1612720000,50.450001,51.549999,50.380001,50.490002000000004,50.490002000000004,345900
10,2007-11-26,1440.73999,1446.089966,1406.099976,1407.219971,1407.219971,3706470000,50.799999,50.900002,49.400002,49.66,49.66,834700
11,2007-11-27,1409.589966,1429.48999,1407.430054,1428.22998,1428.22998,4320720000,49.970001,50.68,49.639998999999996,50.400002,50.400002,735900
12,2007-11-28,1432.949951,1471.619995,1432.949951,1469.02002,1469.02002,4508020000,50.849998,51.970001,50.400002,51.790001000000004,51.790001000000004,780400
13,2007-11-29,1467.410034,1473.810059,1458.359985,1469.719971,1469.719971,3524730000,51.669998,51.669998,50.77,51.310001,51.310001,325900
14,2007-11-30,1471.829956,1488.939941,1470.890015,1481.140015,1481.140015,4422200000,51.990002000000004,53.110001000000004,51.310001,51.48,51.48,870700
15,2007-12-03,1479.630005,1481.160034,1470.079956,1472.420044,1472.420044,3323250000,51.59,52.029999,50.400002,51.130001,51.130001,344400
16,2007-12-04,1471.339966,1471.339966,1460.660034,1462.790039,1462.790039,3343620000,50.830002,51.560001,50.209998999999996,51.0,51.0,372700
17,2007-12-05,1465.219971,1486.089966,1465.219971,1485.01001,1485.01001,3663660000,51.740002000000004,52.130001,51.080002,51.810001,51.810001,282100
18,2007-12-06,1484.589966,1508.02002,1482.189941,1507.339966,1507.339966,3568570000,51.950001,53.0,51.700001,52.860001000000004,52.860001000000004,815900
19,2007-12-07,1508.599976,1510.630005,1502.660034,1504.660034,1504.660034,3177710000,52.740002000000004,52.860001000000004,51.810001,52.18,52.18,416700
20,2007-12-10,1505.109985,1518.27002,1504.959961,1515.959961,1515.959961,2911760000,52.150002,52.970001,52.060001,52.75,52.75,323600
21,2007-12-11,1516.680054,1523.569946,1475.98999,1477.650024,1477.650024,4080180000,52.619999,52.830002,50.82,51.009997999999996,51.009997999999996,684100
22,2007-12-12,1487.579956,1511.959961,1468.22998,1486.589966,1486.589966,4482120000,51.880001,52.439999,49.709998999999996,50.48,50.48,643900
23,2007-12-13,1483.27002,1489.400024,1469.209961,1488.410034,1488.410034,3635170000,50.259997999999996,50.580002,49.470001,50.509997999999996,50.509997999999996,309400
24,2007-12-14,1486.189941,1486.670044,1467.780029,1467.949951,1467.949951,3401050000,50.110001000000004,50.459998999999996,49.560001,49.84,49.84,323800
25,2007-12-17,1465.050049,1465.050049,1445.430054,1445.900024,1445.900024,3569030000,49.5,50.02,49.209998999999996,49.209998999999996,49.209998999999996,304700
26,2007-12-18,1445.920044,1460.160034,1435.650024,1454.97998,1454.97998,3723690000,49.740002000000004,50.560001,48.849998,50.259997999999996,50.259997999999996,345200
27,2007-12-19,1454.699951,1464.420044,1445.310059,1453.0,1453.0,3401300000,50.25,50.740002000000004,49.84,50.259997999999996,50.259997999999996,298800
28,2007-12-20,1456.420044,1461.530029,1447.219971,1460.119995,1460.119995,3526890000,50.740002000000004,51.119999,49.990002000000004,51.060001,51.060001,347900
29,2007-12-21,1463.189941,1485.400024,1463.189941,1484.459961,1484.459961,4508590000,51.970001,52.0,51.169998,51.880001,51.880001,673300
30,2007-12-24,1484.550049,1497.630005,1484.550049,1496.449951,1496.449951,1267420000,51.790001000000004,51.959998999999996,51.540001000000004,51.860001000000004,51.860001000000004,175700
31,2007-12-26,1495.119995,1498.849976,1488.199951,1497.660034,1497.660034,2010500000,51.650002,52.25,51.580002,51.959998999999996,51.959998999999996,291600
32,2007-12-27,1495.050049,1495.050049,1475.859985,1476.27002,1476.27002,2365770000,51.950001,52.060001,50.509997999999996,50.830002,50.830002,383300
33,2007-12-28,1479.829956,1488.01001,1471.699951,1478.48999,1478.48999,2420510000,50.900002,51.150002,50.32,50.529999,50.529999,246000
34,2007-12-31,1475.25,1475.829956,1465.130005,1468.359985,1468.359985,2440880000,50.23,50.82,49.900002,50.400002,50.400002,247200
35,2008-01-02,1467.969971,1471.77002,1442.069946,1447.160034,1447.160034,3452650000,50.240002000000004,50.68,49.380001,49.91,49.91,496800
36,2008-01-03,1447.550049,1456.800049,1443.72998,1447.160034,1447.160034,3429500000,50.119999,50.290001000000004,49.25,49.349998,49.349998,482000
37,2008-01-04,1444.01001,1444.01001,1411.189941,1411.630005,1411.630005,4166000000,48.990002000000004,49.09,47.779999,48.040001000000004,48.040001000000004,567200
38,2008-01-07,1414.069946,1423.869995,1403.449951,1416.180054,1416.180054,4221260000,47.380001,48.830002,47.209998999999996,48.369999,48.369999,595100
39,2008-01-08,1415.709961,1430.280029,1388.300049,1390.189941,1390.189941,4705390000,48.240002000000004,48.93,47.389998999999996,47.52,47.52,467700
40,2008-01-09,1390.25,1409.189941,1378.699951,1409.130005,1409.130005,5351030000,47.599998,47.919998,46.139998999999996,47.049999,47.049999,757600
41,2008-01-10,1406.780029,1429.089966,1395.310059,1420.329956,1420.329956,5170490000,46.669998,47.59,46.369999,46.869999,46.869999,1107100
42,2008-01-11,1419.910034,1419.910034,1394.829956,1401.02002,1401.02002,4495840000,46.580002,47.919998,46.0,46.900002,46.900002,474700
43,2008-01-14,1402.910034,1417.890015,1402.910034,1416.25,1416.25,3682090000,47.139998999999996,47.93,46.540001000000004,46.889998999999996,46.889998999999996,482000
44,2008-01-15,1411.880005,1411.880005,1380.599976,1380.949951,1380.949951,4601640000,46.290001000000004,46.400002,45.5,45.970001,45.970001,624400
45,2008-01-16,1377.410034,1391.98999,1364.27002,1373.199951,1373.199951,5440620000,45.869999,47.599998,45.830002,46.580002,46.580002,654500
46,2008-01-17,1374.790039,1377.719971,1330.670044,1333.25,1333.25,5303130000,46.68,46.68,45.299999,45.490002000000004,45.490002000000004,590700
